	dwv	aov	apthili	bmlv	aparli	amfv	vdv
13_19	2047.36	116.72	0.00168	0.0	0.0	20215.09	16997.72
13_20	99746.82	58.26	0.0	0.0	0.0	10790.33	63289.89
13_21	0.0	9350000.0	0.0	0.0	0.0	20755.96	242000000.0
13_22	0.0	108.68	0.0	0.0	0.0	5871.39	94800000.0
13_23	12.67	99.76	0.0	0.0	0.0	4363.25	38239.76
13_24	0.0	139.34	0.0	0.0	0.0	1430.33	6259.47
13_25	43436.1	99.02	0.0	115.03	0.0	17845.96	810257.59
13_26	422000000.0	159.76	0.0	94001.49	0.0	21042.15	1850000000.0
13_27	38900000.0	71.33	0.0	1.83	0.0	19621.23	445061.58
13_28	1413.71	80.08	0.0	0.0	302009.03	9660.32	18930.38
13_29	0.0	63.0	0.0	0.0	0.0	6739.08	640.72
13_30	895.82	83.66	0.0	0.0	0.0	7775.24	486.8
13_31	2908.68	104.0	0.0	0.0	0.0	14696.55	10563.26
13_32	44.17	33.19	0.0	0.0	0.0	1552.3	6827.83
13_33	0.0	88.63	0.0	23.86	0.0	0.0	5098.98
13_34	0.0	53.35	0.0	0.0	0.0	0.0	148000000.0
13_35	49753.2	9018.8	0.0	0.409	0.0	50701.12	5275.36
13_36	215000000.0	20.06	0.0	0.0	0.0	1710.37	29300000.0
13_37	0.0	106.06	0.0	0.0	0.0	5348.38	3048.3
13_38	164000000.0	16.79	0.0	0.0	0.0	13197.77	3300000000.0
13_39	346.47	94.53	0.0	2.87	0.0	1709.35	14402.33
13_40	0.0	103.4	0.0	35.56	0.0	6677.35	53200000.0
13_41	4420.26	1470.41	0.0	0.0	0.0	0.0	785463.78
13_42	3450000.0	115.96	0.0	0.0	0.0	0.0	11600000.0
13_43	1710000.0	22754.61	0.0	1.81	0.0	5956.92	108856.31
13_44	59148.35	80.09	0.0	0.0	0.0	8201.1	1608.49
13_45	49261.36	78.84	0.0	0.0	0.0	10047.97	32779.6
13_46	218864.38	42.45	0.0	0.0	0.0	18746.38	47764.63
13_47	1330000000.0	166.54	0.0	452364.67	0.0	899.99	31300000.0
13_48	9470000.0	36218.81	0.0	22.38	0.0	2763.7	12505.4
13_49	192000000.0	30600000.0	0.0	175.61	0.0	6855.78	13500000.0
13_50	6110000.0	2410000.0	0.0	0.0	437295.67	1408.78	624966.75
13_51	180.69	198.61	0.0	7.8	0.0	6847.64	6822.37
13_52	5870000.0	181.3	0.264	3030.66	0.0	14398.82	1400000000.0
13_53	8674.24	89.88	0.143	407.62	0.0	20776.48	18080.56
13_54	189.34	3970000.0	0.382	1.26	0.0	12784.96	12004.44
13_55	0.0	188.36	0.0	0.0	0.0	22114.22	122000000.0
13_56	16.35	121.64	0.0	0.0	0.0	3322.18	78676.96
13_57	3027.06	195.59	0.0	0.0	0.0	2469.89	16708.63
13_58	107751.66	185.29	0.0	0.0	0.0	6775.23	36608.44
13_59	410199.11	8470000.0	0.0	272.31	0.0	4420.02	9120000.0
13_60	96294.15	159.76	0.0	669.11	0.0	2585.08	16359.79
12_127	46100000.0	11909.37	301.99	0.0	0.0	15822.12	595000000.0
12_128	5126.3	0.0	227.43	0.0	0.0	9240.6	58945.43
12_129	3286.97	0.0	71.01	0.0	0.0	2082.03	10047.26
12_130	4612.01	7.54	0.12	0.0	0.0	7690.88	56460.96
12_131	444000000.0	227675.98	0.0325	0.0	0.0	20112.14	5110000.0
13_132	373672.41	0.0	0.0	617.41	0.0	15975.92	105631.5
12_132	1780000.0	0.0	0.0	0.0	0.0	2242.89	1850000.0
12_133	1360000000.0	212573.52	1.85	0.0	0.0	23036.63	150000000.0
12_134	62600000.0	415.44	0.0	0.0	0.0	3970.84	3640000.0
12_135	28782.18	0.0	88.68	0.0	0.0	0.0	16002.91
12_136	3063.19	3007.84	0.0	0.0	0.0	8664.06	830.41
12_137	12967.23	0.0	0.307	0.0	0.0	4362.89	5781.12
12_138	22211.56	0.0	1.27	0.0	0.0	21723.71	27680.13
12_139	579409.38	112.77	3234.61	0.0	0.0	40037.56	18001.34
12_140	30322.11	3.7	5557.26	0.0	0.0	71867.52	9741.55
12_141	8944.9	0.0	54.99	0.0	12100000.0	2497.68	795.98
12_142	10032.37	0.0	224.53	0.0	0.0	0.0	22215.13
12_143	28710.33	0.0	0.0	0.0	0.0	39017.35	2890000.0
12_144	3110000.0	0.0	0.0	0.0	0.0	36523.26	1340000.0
12_145	457444.64	0.0	8093.27	0.0	0.0	6938.97	5890000.0
12_146	3443.88	4.85	75.29	0.0	0.0	2308.19	575.52
12_147	1640000000.0	16.08	0.104	0.0	0.0	32721.83	1900000000.0
12_148	2230000.0	53.91	103.88	0.0	0.0	20976.26	0.0
12_149	87819.06	0.0	163.01	0.0	0.0	11352.17	13807.9
12_150	4355.07	0.0	354.74	0.0	0.0	130.73	6971.05
13_1	1233.25	24.08	0.0	0.0	126502.47	16525.86	256536.89
13_2	148.7	8.63	0.0	0.0	147747.75	9047.67	612484.13
13_3	0.0	63.72	0.0	4.63	0.0	1042.85	35088.94
13_4	5000.19	12.03	0.0	0.0	0.0	3948.89	1030000.0
13_5	655430.88	0.0	0.0	0.0	0.0	1548.44	1989.16
13_6	8877.27	15.73	0.0	0.0	0.0	2830.78	2500000.0
13_7	799711.84	40.28	0.0	0.0	0.0	17848.33	4640000.0
13_8	149140.51	30.08	0.0	0.0	0.0	11094.11	72100.33
13_9	2170000.0	100.8	0.081	0.0	0.0	770.79	16896.5
13_10	45940.88	71.26	0.11	0.0	0.0	0.0	1852.54
13_11	397000000.0	39.19	0.0	0.0	0.0	306.98	111000000.0
13_12	52522.87	50.87	0.0	0.0	0.0	3125.54	10800000.0
13_13	55.29	26.93	0.0	0.0	0.0	989.85	0.0
13_14	903.54	61.26	0.0	0.0	0.0	582.29	904.29
13_15	84589.2	114.71	0.0	0.0	0.0	4868.62	8123.07
13_16	563000000.0	100.55	2.51	0.0	0.0	33375.23	72500000.0
13_17	5690.49	74.92	0.0	0.0	27400000.0	3829.33	5043.99
13_18	16948.74	47.14	0.294	0.0	81753.09	14861.07	5431.56
12_43	20057.61	380.44	0.202	3.75	0.0	8314.66	6450000.0
12_44	29943.83	1688.3	1510.64	46.51	0.0	3831.32	679051.53
12_45	1690000000.0	1359.07	174.05	250.96	0.0	5522.55	818000000.0
12_46	924764.19	2288.82	27.2	34.55	0.0	8783.87	15900000.0
12_47	68061.46	204.14	7586.36	1666.85	0.0	2997.18	702570.97
12_48	1300000000.0	63762.09	59.3	66975.57	0.0	5021.99	262000000.0
12_49	10900000.0	571.62	121.95	33811.43	0.0	3920.71	16300000.0
12_50	215000000.0	18001.41	0.819	275658.42	0.0	5750.62	386000000.0
12_51	281.13	107.1	26.35	25.31	94700000.0	72.92	2647.55
12_52	3773.55	0.0	464.02	0.0	375000000.0	1502.24	8927.75
12_53	0.0	346.29	50.28	2.79	0.0	5032.48	86273.4
12_54	0.0	490.15	765.98	0.0	0.0	9946.02	1475.96
12_55	652.45	229.95	12.94	107.19	0.0	11673.48	304364.23
12_56	3290.45	389.11	0.637	4175.87	0.0	11057.46	482556.78
12_57	43700000.0	711.12	1707.38	0.0	0.0	1735.7	2810000000.0
12_58	115976.8	78.05	18.42	0.0	158533.31	174.7	138001.36
12_59	16173.31	0.0	328.21	8.88	0.0	46126.17	415000000.0
12_60	478751.64	0.0	3.43	17.72	82322.82	13692.97	722000000.0
12_61	364389.08	360.76	0.0224	64.94	0.0	6075.17	55706.61
12_62	539.16	175.38	32.87	56.41	0.0	4811.38	1160000.0
12_63	13.01	290.28	305.87	0.0	0.0	2146.45	5692.36
12_64	0.0	29195.64	18.23	0.0	0.0	972.52	35600000.0
12_65	4990000.0	2673.97	0.00418	21405.71	0.0	2004.57	75700000.0
12_66	0.0	518.72	0.0	24.73	0.0	9254.94	4317.17
12_67	138285.44	626.2	2177.96	10.97	0.0	1587.84	7150000000.0
12_68	486810.06	91.73	874.23	55.76	0.0	557.19	4520000.0
12_69	1424.73	385.23	19.46	0.0	0.0	2572.53	38260.82
12_70	451149.27	425.69	113.71	0.0	0.0	1558.84	693.21
12_71	4570000.0	167.72	0.0	0.0	0.0	2512.22	33900000.0
12_72	330082.39	158.7	0.0	0.0	0.0	428.35	26604.32
12_73	20000000.0	566.75	46.07	58.79	0.0	4089.12	137000000.0
12_74	9740.25	438.17	29.42	0.0	0.0	350.02	16201.58
12_75	13.04	258.12	0.00149	37.65	0.0	2008.83	37722.82
12_76	0.0	4116.75	71.83	5.72	0.0	2676.81	10904.84
12_77	40900000.0	412.6	214.47	45661.76	0.0	5790.53	5530000000.0
12_78	1270000.0	851.24	20765.32	870.06	0.0	0.0	294139.8
12_79	186684.11	119.35	27.79	248.21	0.0	1410.05	312595.38
12_80	396259.14	528.28	647.59	327.05	0.0	1219.84	53970.49
12_81	41600000.0	937.35	0.0	587.18	0.0	10485.01	266000000.0
12_82	4670000.0	3972.5	0.0	26526.42	0.0	11117.51	679000000.0
12_83	14754.19	569.99	54.66	30.82	0.0	10770.18	13113.62
12_84	3379.5	652.77	2.56	644.48	0.0	2510.24	623609.0
13_103	3070000000.0	105.8	0.0	7.14	69900000.0	15375.26	7980000.0
13_104	13221.93	67.87	0.0	10.7	51000000.0	10502.89	1670000.0
13_105	2561.62	188.5	0.0	35.36	0.0	8189.93	0.0
13_106	3240.42	160.39	0.0	52.41	0.0	4050.61	8588.38
13_107	24067.79	137.49	0.0	60.94	0.0	53149.16	15100000.0
13_108	3303.38	113.51	0.0632	2651.7	0.0	14759.74	1805.99
13_109	0.0	139.93	0.0	70.81	0.0	18218.15	78.94
13_110	31382.45	1824.57	0.0	0.0	0.0	18994.85	107399.7
13_111	1471.99	96.5	83.24	49.14	0.0	221.04	2198.32
13_112	1019.54	115.74	0.0	61.54	0.0	511.64	1170000.0
13_113	513000000.0	6077.31	410.25	5.32	0.0	12589.3	3780000000.0
13_114	14672.45	79.27	0.122	19.94	83642.13	2874.16	24800000.0
13_115	5274.39	79.73	2972.56	0.0	0.0	11674.97	108.24
13_116	2275.8	43.28	0.0	23.99	0.0	682.17	0.0
13_117	0.0	126.36	0.0	22.04	0.0	6014.98	166.58
13_118	0.0	151.07	0.0	522.87	0.0	7013.18	35.9
13_119	13210.94	133.21	0.0	6.18	0.0	45883.34	20509.49
13_120	15465.19	95.59	0.0	45.85	0.0	28577.73	21205.73
13_121	24298.97	186.39	0.0	86.25	0.0	11517.32	46400000.0
13_122	3.8	80.07	0.0	16.76	0.0	13069.56	1210000.0
13_123	24.72	96.69	0.0	51.66	0.0	6516.44	2282.03
13_124	0.0	126.48	0.0	22.6	0.0	4656.08	0.0
13_125	16276.39	122.07	0.434	0.0	0.0	0.0	555377.52
13_126	110393.94	138.68	0.837	0.0	0.0	6405.47	109095.51
13_127	24488.01	82.08	0.173	47.92	0.0	12287.09	33777.27
13_128	87154.09	78.18	0.0	2602.86	0.0	880.84	1220000.0
13_129	0.0	91.21	0.0	21.74	0.0	9593.91	27.81
13_130	21.27	80.25	0.0	18.81	0.0	15701.36	6.25
13_131	14114.25	26.45	0.0	642.59	0.0	30150.85	2560000000.0
13_133	1272.92	131.7	0.0	36.6	0.0	4557.22	19302.58
13_134	490.25	102.89	0.0	399.88	0.0	5517.79	3023.59
13_135	1840000000.0	157.24	0.0	71.91	0.0	4460.33	12070.98
13_136	2520000000.0	220.67	0.0	27.42	0.0	13062.18	1019.68
13_137	6432.73	155.68	0.0	36.29	0.0	9423.98	806.84
13_138	5180000.0	2406.87	0.904	4980000.0	0.0	15446.68	66469.73
13_139	3980000000.0	7210.15	0.0	76483.01	0.0	17135.03	832000000.0
13_140	4480000.0	111.7	0.0	2028.93	0.0	21091.33	344288.14
13_141	70317.9	130.46	0.0	43.88	0.0	6246.59	19400000.0
13_142	4125.61	148.61	0.0	0.0	0.0	0.0	7516.71
13_143	2799.53	154.63	0.0	12.86	0.0	14277.21	11298.66
13_144	113.89	138.94	0.0	2011.8	0.0	5183.02	31600.04
13_61	881.99	115.19	0.0	0.0	0.0	2292.95	4624.44
13_62	105.64	124.54	0.0	0.0	0.0	1288.75	88200000.0
13_63	0.0	208.04	0.0	0.0	0.0	8071.12	1411.32
13_64	152.49	188.18	0.0	14.33	0.0	8112.96	7635.38
13_65	0.0	203.32	0.0	0.0	0.0	2460.98	1384.35
13_66	1558.27	171.25	0.0	0.0	13820.26	790.31	9018.45
13_67	15081.86	204.61	0.0	1613.38	0.0	0.0	801000000.0
13_68	275.87	159.21	0.0	605.93	0.0	3691.16	1771.52
13_69	31970.48	136.66	0.0	1408.23	0.0	2049.25	2322.86
13_70	166814.88	156.39	0.0	3760.52	0.0	4855.55	11700000.0
13_71	0.0	119.59	0.0	0.0	0.0	88414.21	3839.4
13_72	3128.87	165.31	0.0	0.0	0.0	28491.68	1876.72
13_73	220000000.0	148.59	0.0264	0.0	0.0	26511.95	46100000.0
13_74	3207.11	132.65	1.18	5.63	0.0	13448.74	1506.86
13_75	18700000.0	64.84	0.0	0.0	0.0	6765.04	3850000000.0
13_76	4280000.0	161.85	0.0241	0.0	0.0	8454.69	1215.59
13_77	1670000.0	113.1	0.0	0.0	0.0	1936.27	679000000.0
13_78	350.37	161.38	0.0	0.0	0.0	15242.5	2077.76
13_79	0.0	154.72	0.0	0.0	0.0	3946.55	4590.54
13_80	2791.71	69.39	0.0	0.0	0.0	11875.12	32136.91
13_81	0.0	122.04	0.0	0.0	0.0	1893.83	7439.98
13_82	11990.04	189.26	0.0	16.74	0.0	19512.39	1580000.0
13_83	255923.03	153.93	0.0	87.06	0.0	10985.47	569000000.0
13_84	12657.29	156.24	0.0	141.63	0.0	6371.62	28287.55
13_85	0.0	144.41	0.0	0.0	0.0	2778.33	5115.91
13_86	74124.34	577.12	0.0	193.78	0.0	2264.94	14600000.0
13_87	2257.18	146.77	0.0	0.0	0.0	8840.17	406000000.0
13_88	21643.35	152.52	0.0	8.0	0.0	1340000.0	3221.61
13_89	11176.67	141.18	0.0	0.0	0.0	8942.92	1301.48
13_90	7010000.0	156.05	0.0	0.0	0.0	9555.48	4700000.0
13_91	42.55	200.83	0.0	0.0	0.0	7871.93	3685.12
13_92	4539.35	116.9	0.0	0.0	0.0	8063.62	6147.76
13_93	91729.62	165.46	0.0	0.0	0.0	40244.91	1833.39
13_94	430000000.0	675.83	0.0	0.0	0.0	11886.73	39500000.0
13_95	15240.77	186.62	0.0	0.0	0.0	21448.98	8167.64
13_96	25300000.0	167.21	0.0	0.0	0.0	18673.41	85732.5
13_97	1070000000.0	25783.29	0.0	0.0	0.0	39719.08	986000000.0
13_98	317612.69	233.29	0.0	0.0	0.0	1269.02	30653.62
13_99	8210.55	213.87	0.0	0.0	0.0	3569.75	1046.14
13_100	6466.42	215.53	0.0	0.0	0.0	2852.2	860.65
13_101	3523.77	218.23	0.0	0.0	0.0	2556.3	1220.91
13_102	2297.35	202.91	0.0	0.0	0.0	21047.4	1534.52
13_145	170384.43	153.13	0.0	732.25	0.0	0.0	79862.34
13_146	0.0	0.0	0.0	0.0	0.0	16353.05	1367.4
13_147	63.09	2039.41	0.0	0.0	0.0	0.0	832000000.0
13_148	30500000.0	153.11	0.0	0.0	0.0	0.0	19800000.0
13_149	0.0	172.41	0.0	0.0	0.0	0.0	2541.88
13_150	76136.63	23300000.0	0.0	0.0	0.0	0.0	2200000000.0
12_85	2380000.0	48.3	3932.38	0.0	0.0	42160.51	1690000.0
12_86	63968.78	65.55	453.59	2.3	0.0	4414.96	2130000.0
12_87	1550000000.0	67.87	0.715	44207.66	0.0	22462.76	34700000.0
12_88	319823.41	36.26	100.88	1908.06	0.0	23093.07	418032.58
12_89	3157.1	97.59	0.274	0.0	122311.42	33403.19	9852.42
12_90	2326.43	89.43	0.87	0.0	117277.94	10437.08	18166.85
12_91	2150000.0	40508.97	3.89	15073.56	0.0	50311.36	1100000000.0
12_92	1790000.0	61.68	0.0	1749.79	0.0	140971.61	5210000000.0
12_93	12125.41	82.31	8.54	667.59	0.0	130619.93	759000000.0
12_94	310000000.0	44.93	2716.0	0.0	0.0	38742.47	977673.5
12_95	3703.07	35.43	1468.66	2.44	0.0	42484.32	29363.84
12_96	0.0	172.39	518.63	14.91	0.0	82276.77	509000000.0
12_97	771000000.0	0.0	0.745	0.0	0.0	80209.59	212000000.0
12_98	2680000.0	101.19	38.11	0.0	0.0	130848.79	17100000.0
12_99	299000000.0	128.8	12.13	19.18	0.0	62737.09	1280000000.0
12_100	175789.19	65.06	343.53	854.39	0.0	71794.55	20595.69
12_101	487926.67	0.0	140.16	48.25	0.0	40035.4	90317.25
12_102	1620000000.0	345.22	226.76	40712.91	0.0	457192.34	7750000.0
12_103	814067.5	175.95	92.13	0.0	0.0	21534.86	192896.21
12_104	19806.46	31.24	40.52	2571.83	0.0	810.64	40253.74
12_105	438569.78	17286.0	9.99	36.12	0.0	43293.71	11000000.0
12_106	143000000.0	12000000.0	365.59	508.8	0.0	5462.55	892000000.0
12_107	113000000.0	182185.15	8.71	9.04	0.0	58758.14	0.0
12_108	541000000.0	56.09	15.44	8749.58	0.0	31695.13	39600000.0
12_109	341000000.0	1170000.0	2.02	538.23	0.0	32455.91	2850000000.0
12_110	238166.36	40.6	3.03	0.0	0.0	130078.69	243002.46
12_111	5325.61	27.06	150.84	11.65	0.0	52624.19	9794.98
12_112	43300000.0	48.47	5559.48	807.32	0.0	116976.18	13100000.0
12_113	16127.78	24.78	517.08	0.0	0.0	116367.39	25282.81
12_114	8849.83	104.56	3741.92	0.0	0.0	105798.88	6096.93
12_115	6332.44	68.75	7775.75	6.14	0.0	61804.7	2313.91
12_116	1954.23	86.18	12.66	0.0	0.0	53355.98	1315.7
12_117	4637.46	30.03	11.06	3099.22	0.0	55014.81	684000000.0
12_118	2993.55	93.85	11.24	940.11	0.0	26059.64	250663.15
12_119	9642.87	46.41	3279.66	8302.13	0.0	157999.62	8621.75
12_120	2533.2	21.61	3917.37	0.0	0.0	34151.3	98922.55
12_121	1280000.0	56.16	934.48	5067.18	230356.48	17388.57	1100000.0
12_122	19800000.0	79109.02	20.14	17450.78	0.0	20827.82	362000000.0
12_123	47500000.0	6077.56	21.77	175.26	0.0	53285.62	30600000.0
12_124	258615.63	229.57	443.0	1056.27	0.0	32136.88	210404.11
12_125	123789.65	37.29	836.39	2491.78	0.0	12861.38	60230.08
12_126	181000000.0	39.33	397.32	2200.59	0.0	126179.66	53900000.0
12_2	663128.66	12.7	0.0	997.55	0.0	3778.96	3570000.0
12_1	28152.32	3.73	2873.11	64.19	0.0	3520.35	7366.8
12_3	8904.63	27.49	121.79	0.0	0.0	36049.36	10550.29
12_4	2090000.0	33.85	127.18	25.69	98585.15	2959.46	265281.58
12_5	383937.05	5.99	4.89	0.0	0.0	924.36	140083.07
12_6	8850000000.0	1270000.0	30.35	38.56	0.0	0.0	44400000.0
12_7	27347.21	5.9	1.07	3.62	0.0	1700.82	8178.13
12_8	11632.68	13.06	8.43	0.0	0.0	15285.5	32666.12
12_9	122000000.0	7.42	0.104	0.0	0.0	6686.06	1880000000.0
12_10	1110000000.0	53.36	4.54	15.69	0.0	7715.89	2050000.0
12_11	55358.2	0.0	40.8	0.0	0.0	5971.9	14205.31
12_12	3878.34	7.65	2.73	0.0	0.0	0.0	5643.91
12_13	38111.68	10.87	470.51	0.0	0.0	0.0	1130000.0
12_14	856684.5	18.93	10.94	119.56	0.0	1639.85	13600000.0
12_15	7552.61	8.64	166.46	0.0	0.0	538.22	2317.94
12_16	54400000.0	25.96	296.24	0.0	72096.56	0.0	2769.67
12_17	8033.9	8.31	7871.83	38.95	0.0	16122.5	8686.07
12_18	17867.57	40.26	10501.04	21.11	0.0	1940.38	1205.14
12_19	2708.65	26.65	663.54	0.0	224000000.0	1104.67	1805.39
12_20	1440000000.0	63.76	0.0433	26220.13	0.0	5242.31	377000000.0
12_21	83000000.0	5.56	1332.34	0.0	0.0	314.46	701.46
12_22	10222.24	10.96	3834.39	0.0	0.0	4861.24	10055.36
12_23	58737.39	0.0	2.37	32.31	0.0	38161.32	20225.12
12_24	10733.12	7.94	0.71	36.51	0.0	12996.62	3245.55
12_25	125060.5	4.36	1.15	9972.46	0.0	9842.97	348976.98
12_26	1660000000.0	21.24	1.77	7021.62	0.0	7867.95	1080000000.0
12_27	1018.75	24.71	45.9	0.0	0.0	671.21	359.87
12_28	3393.08	4.14	14.02	0.0	10400000.0	0.0	623.33
12_29	26543.82	7.28	6.43	0.0	0.0	0.0	15293.67
12_30	9025.77	18.69	95.78	8.23	0.0	1254.34	692477.66
12_31	16403.44	137.78	5698.97	2786.91	0.0	1255.45	102018.9
12_32	545726.92	18.58	2958.8	187.58	0.0	2273.03	4790000.0
12_33	22246.37	9.74	14796.73	28.86	34009.99	2500.73	289968.33
12_34	0.0	23.5	1038.1	42.04	0.0	0.0	0.0
12_35	1773.21	8.91	399.31	183.46	103578.21	76906.1	157391.6
12_36	696.47	22.47	0.037	0.0	328670.09	271463.09	24742.13
12_37	11473.18	24.42	0.0	67.49	252761.5	11953.59	17186.42
12_38	815226.5	7.33	162.18	3093.18	0.0	27193.7	114000000.0
12_39	29400000.0	12.35	0.0112	2646.32	0.0	97644.78	6830000.0
12_40	12375.04	20.31	31.76	75.31	0.0	11682.38	1885.13
12_41	1270000000.0	515.25	209.14	424189.28	0.0	13121.6	584000000.0
12_42	59737.81	0.0	37.88	77.2	0.0	7459.86	83244.45
